IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
47.79.144.223,47.79.144.223,api.planori.app,"Let's Encrypt",N/A
47.79.145.75,47.79.145.75,h.klmai.xin,"Let's Encrypt",N/A
47.79.144.228,47.79.144.228,jp.337498871.xyz,"Let's Encrypt",N/A
47.79.144.66,47.79.144.66,sub.shanfunds.cn,"Let's Encrypt",N/A
47.79.144.31,47.79.144.31,cccc.rest,"TrustAsia Technologies, Inc.",N/A
47.79.144.213,47.79.144.213,www.fuqingadapter.com,"Let's Encrypt",N/A
47.79.145.97,47.79.145.97,dlipin.cn,"Let's Encrypt",N/A
47.79.145.217,47.79.145.217,ribbin.mailaiceshi.top,"Let's Encrypt",N/A
47.79.144.217,47.79.144.217,images.apple.com,"Apple Inc.",N/A
47.79.146.35,47.79.146.35,user.52hhy.com,"Let's Encrypt",N/A
47.79.144.106,47.79.144.106,*.megadataocean.com,"Sectigo Limited",N/A
47.79.144.202,47.79.144.202,47.79.144.202,"ZeroSSL",N/A
47.79.146.41,47.79.146.41,47.79.146.41,"Asseco Data Systems S.A.",N/A
47.79.146.58,47.79.146.58,*.megadataocean.com,"Sectigo Limited",N/A
47.79.146.18,47.79.146.18,47.79.146.18,"ZeroSSL",N/A
47.79.146.30,47.79.146.30,images.apple.com,"Apple Inc.",N/A
47.79.145.104,47.79.145.104,localhost,"FIT2CLOUD",N/A
47.79.144.247,47.79.144.247,Common Name,"Organization",N/A
47.79.144.135,47.79.144.135,h5battle-api.kerzhi.com,"Let's Encrypt",N/A
47.79.145.143,47.79.145.143,core.gouimet.shop,"Let's Encrypt",N/A
47.79.144.244,47.79.144.244,admin.chatgo.io,"Let's Encrypt",N/A
47.79.144.73,47.79.144.73,www.brandonbuuro.com,"Let's Encrypt",N/A
47.79.145.63,47.79.145.63,calculator.zanb2b.com,"Let's Encrypt",N/A
47.79.145.12,47.79.145.12,default-server,"IT",N/A
47.79.145.147,47.79.145.147,homeagents.org,"广东堡塔安全技术有限公司",N/A
47.79.145.170,47.79.145.170,xinbb.asia,"Let's Encrypt",N/A
47.79.145.154,47.79.145.154,47.79.145.154,"SSL Corporation",N/A
47.79.145.139,47.79.145.139,starslayla.shop,"Let's Encrypt",N/A
47.79.144.33,47.79.144.33,daiwa-co-jp.cqkfjr.com,"Let's Encrypt",N/A
47.79.145.44,47.79.145.44,47.79.145.44,"SSL Corporation",N/A
47.79.144.125,47.79.144.125,w1.juwo.app,"Let's Encrypt",N/A
47.79.145.157,47.79.145.157,glowsticks.cn,"DigiCert Inc",N/A
